text,class,text_clean
เสนียดไปจัญไรมา,1,เสนียด ไป จัญ ไร มา
สภาพประเทศไทยตอนนี้ก็คือ หนีไอ้เหี้ยมาเจอไอ้ห่า หนีหมารับใช้มาเจอลิงหลับ หนีคนสับปลับมาเจอคนไม่รู้ๆๆ หนีสถุลตู่มาเจอสะดุดป้อม,1,สภาพประเทศไทยตอน นี้ ก็คือ   หนีไอ้เหี้ย มา เจอไอ้ห่า   หนีห มา รับ ใช้ มา เจอลิงหลับ   หนีคนสับปลับ มา เจอคน ไม่ รู้ ๆ ๆ   หนีสถุลตู่ มา เจอสะดุดป้อม
อีตู่ไปอีป้อมมาคือเรื่องที่เหี้ยที่สุดที่ไม่ควรเกิดขึ้นเลยอะ เอาไอ้แก่สภาพใกล้ลงโลงมารักษาการ คิดไรกันอยู่เอ่ยยย,1,อี ตู่ ไป อี ป้อม มา คือ เรื่อง ที่ เหี้ย ที่สุด ที่ ไม่ ควร เกิด ขึ้น เลย อะ   เอา ไอ้ แก่ สภาพ ใกล้ ลง โลง มา รักษา การ   คิด ไร กัน อยู่ เอ่ยยย
เหมือนอีศาลโยนหินถามทาง ถ้า ประวิตร ขึ้นแล้วคนด่า ก็จะกลับคำให้ ประยุทธ์ อยู่ต่อ คือประชาชนอย่างพวกมึงไม่มีสิทธิเลือก มีแต่ รัฐบาลส้นตีน ซ้ายกับขวาแค่นั้น,1,เหมือน อี ศาลโยนหินถาม ทาง   ถ้า   ประวิตร   ขึ้น แล้ว คนด่า   ก็จะ กลับ คำ ให้   ประยุทธ์   อยู่ ต่อ   คือ ประชาชน อย่าง พวกมึง ไม่ มี สิทธิเลือก   มีแต่   รัฐบาลส้นตีน   ซ้าย กับ ขวา แค่นั้น
กูไม่เคย war กับนางแบกเพื่อไทยเลย แต่นี้ มึงเป็นเหี้ยอะไรอ่ะ นิวมันโดนยัดเข้าคุกเพราะแค่ใส่ชุดไทยไง มันให้คนมาตะโกนทรงพระเจริญมั้ย ใส่ชุดไทยคือเลียนแบบราชินีแล้ว,1,กู ไม่ เคย   war   กับ นาง แบก เพื่อ ไทย เลย   แต่ นี้   มึง เป็น เหี้ย อะไร อ่ะ   นิว มัน โดนยัด เข้า คุก เพราะ แค่ ใส่ชุดไทย ไง   มัน ให้ คน มา ตะโกน ทรง พระเจริญ มั้ย   ใส่ชุดไทย คือ เลียน แบบ ราชินี แล้ว
บางทีก็แอบเบื่อนะ เตือนคนแก่กว่ามันก็บอกเป็นเด็กอย่ามาสั่งสอน เตือนคนเด็กกว่ามันบอกอีแก่บ้าโซตัส แหม่ อิสัส ไหนบอกอายุไม่เกี่ยว,1,บางที ก็ แอบเบื่อ นะ   เตือนคน แก่ กว่า มัน ก็ บอก เป็น เด็กอย่า มา สั่งสอน   เตือนคนเด็ก กว่า มัน บอก อี แก่ บ้าโซตัส   แหม่   อิสัส   ไหน บอก อายุ ไม่ เกี่ยว
ไม่กล้าเอาลงเลย อิดอก เสียงกฺอุบาดมาก อยากโดดน้ำตาย คนอื่นที่ตะโกนยังไม่อฺบาดเท่ากฺ  กฺเหมือนว๊ากน้อง ระบบโซตัส,1,ไม่ กล้า เอา ลง เลย   อิดอก   เสีย งกฺอุบาด มาก   อยาก โดดน้ำตาย   คน อื่น ที่ ตะโกน ยัง ไม่ อฺบาด เท่า กฺ    กฺเหมือนว๊ากน้อง   ระบบโซตัส
อยากให้โคตรเหง้าพวกศาลห่ารากนี้ได้รับผลกรรมบ้างเหมือนกันนะ,1,อยาก ให้ โคตรเหง้า พวก ศาลห่าราก นี้ ได้รับ ผล กรรม บ้าง เหมือน กันนะ
แต่คนเหี้ยอย่างไอ้ตู่กับไอ้ป้อมยังได้ดี เวรกรรมแม่งก็ไม่มีจริง,1,แต่ คนเหี้ย อย่าง ไอ้ตู่ กับ ไอ้ป้อม ยัง ได้ ดี   เวรกรรมแม่ง ก็ ไม่ มี จริง
ไอ้ป้อมแค่รักษาการ ท่าจะกลัวควรกลัวนายกพระราชทานมากกว่า   มีความน่าจะเป็นว่าถ้าฝ่ายพรรคประชาธิปไตยชนะ พวกมัรจะใช้มวลชนมาก่อความวุ่นวายมาสู้กันและให้ทหารมารปห และนายกพระราชทานก็จะมา แล้วก็จะวนลูปความเหี้ย,1,ไอ้ป้อม แค่ รักษา การ   ท่า จะ กลัว ควร กลัว นาย กพระราชทาน มากกว่า     มี ความ น่าจะ เป็น ว่า ถ้า ฝ่าย พรรคประชาธิปไตยช นะ   พวก มัร จะ ใช้ มวลชน มา ก่อ ความ วุ่นวาย มา สู้ กัน และ ให้ ทหาร มา รปห   และ นาย กพระราชทาน ก็จะ มา   แล้ว ก็จะ วนลูป ความ เหี้ย
เกรงว่าไอ้เหี้ยป้อม จะไปกราบตีนไอ้แม้วเรียบร้อยแล้วนะสิ,1,เกรง ว่า ไอ้เหี้ยป้อม   จะ ไป กราบตีนไอ้ แม้ ว เรียบ ร้อย แล้ว นะ สิ
เธอไอ้เหี้ยตู่ไม่ได้ไปต่อนะ,1,เธอ ไอ้เหี้ยตู่ ไม่ ได้ ไป ต่อ นะ
นี่เพิ่งดูข่าวในเพจมาไอ้เหี้ยป้อมได้ขึ้นต่อ เมื่อกี้นี้เลย,1,นี่ เพิ่ง ดูข่าว ใน เพจ มา ไอ้เหี้ยป้อม ได้ ขึ้น ต่อ   เมื่อ กี้ นี้ เลย
เสนียดไป(ตู่)จัญไรมา(ป้อม),1,เสนียด ไป (ตู่)จัญ ไร มา (ป้อม)
ไอ้เหี้ยนี่ถามอะไรก็ไม่เคยรู้ นายกเถื่อน 8ปีแล้วนะไอ้สัส,1,ไอ้เหี้ย นี่ ถาม อะไร ก็ ไม่ เคย รู้   นาย กเถื่อน   8 ปี แล้ว นะ ไอ้สัส
ออกไปเถอะอีเหี้ย  คณะพวกมึงอ่ะออกให้หมด แค่นี้ประเทศก็ชิบหายเกินพอละ ยิ่งอีป้อม โห่ไอ้สัด,1,ออก ไป เถอะ อี เหี้ย    คณะ พวกมึง อ่ะ ออก ให้ หมด   แค่นี้ ประเทศ ก็ ชิบหาย เกิน พอ ละ   ยิ่ง อี ป้อม   โห่ไอ้สัด
ไอ้ป้อมเป็นนายก​ ไอ้เหี้ย,1,ไอ้ป้อม เป็น นาย ก​   ไอ้เหี้ย
พิจารณาเหี้ยอะไรตั้ง 2เดือน ไอ้ป้อมแค่ถ่วงเวลา,1,พิจารณาเหี้ย อะไร ตั้ง   2 เดือน   ไอ้ป้อม แค่ ถ่วงเวลา
ป้อมขึ้นรักษาการนายกแทน แล้วดูสภาพมันเดินนิ่งๆยังจะล้มไอ้เหี้ย,1,ป้อม ขึ้น รักษา การ นาย กแทน   แล้ว ดูสภาพ มัน เดินนิ่ง ๆ ยังจะ ล้มไอ้เหี้ย
อีเหี้ย ป้อมมาแทนจริงป่ะ ไอ้ควาย,1,อี เหี้ย   ป้อม มา แทน จริง ป่ะ   ไอ้ควาย
ไอ้เหี้ยตู่ไป ไอ้จรรไรป้อมมา ก็เหมือนผ่าตัดมะเร็งเสร็จแล้วติดเอดส์ต่อเลยนะมึ,1,ไอ้เหี้ยตู่ ไป   ไอ้จรร ไร ป้อม มา   ก็ เหมือนผ่าตัดมะเร็ง เสร็จแล้ว ติดเอดส์ ต่อ เลย นะ มึ
ลื่นล้มเอาหัวโขกโถส้วมตายซะมึงไอ้เหี้ยป้อม,1,ลื่นล้ม เอา หัวโขกโถส้วมตาย ซะ มึง ไอ้เหี้ยป้อม
ให้อีประยวยหัวคุดหยุดปฏิบัติหน้าที่แต่ถามว่าทุกวันนี้มันทำอะไรมั้ยก็ไม่ แล้วอีป้อมมาแทนไอ้เหี้ยนี่พูดคำอื่นเป็นมั้ยนอกจากไม่รู้ๆ หนีขยะเปียกมาเจอขี้ เละเทะมากอิไทยแลนด์,1,ให้ อี ประยวยหัวคุดหยุด ปฏิบัติ หน้า ที่ แต่ ถาม ว่า ทุกวันนี้ มัน ทำ อะไร มั้ย ก็ ไม่   แล้ว อี ป้อม มา แทนไอ้เหี้ย นี่ พูด คำ อื่น เป็น มั้ย นอกจาก ไม่ รู้ ๆ   หนีขยะเปียก มา เจอขี้   เละเทะ มาก อิไทยแลนด์
ไอ้เหี้ยมันต่างกันตรงไหนวะประยุทธ์ออกป้อมต่อไอ้เหี้ย,1,ไอ้เหี้ย มัน ต่าง กัน ตรง ไหน วะประยุทธ์ ออก ป้อม ต่อ ไอ้เหี้ย
จ้างเลียตูดลุงป้อม ป้าคิดเท่าไรจ๊ะ,1,จ้า งเลียตูดลุงป้อม   ป้า คิด เท่าไร จ๊ะ
กรูเห็นผู้นำที่เจอป้ายแบบนี้     ชิบหายเร็วทุกคน,1,กรู เห็น ผู้ นำ ที่ เจอป้าย แบบ นี้       ชิบหาย เร็ว ทุกคน
ไอ้ป้อม เอาซีนไอ้ตู่ไปแดกหมดละ,1,ไอ้ป้อม   เอา ซีนไอ้ตู่ ไป แดก หมด ละ
เค้าทำงานไงไอ้สัส เค้าไม่ได้ปล้นประเทศเหมือนไอ้ตู่ไอ้ป้อม ไอ้ มย,1,เค้าทำงาน ไง ไอ้สัส   เค้า ไม่ ได้ ปล้นประเทศเหมือนไอ้ตู่ไอ้ป้อม   ไอ้   มย
อธิบายเรื่องที่ไอ้ป้อมจะแทรกแซงตรึงค่าเงินบาทว่าถ้ามันทำจริงเศรษฐกิจประเทศจะชิบหาย จะกลับไปคล้ายๆกับวิกฤตต้มยำกุ้ง พอได้อ่านคอมเม้นของชาว tt แล้วกูอยากให้ประเทศจมน้ำไปเลย เม้นเล่นกันรอบนี้อาจจะต้มเล้ง ต้มแซ่บ อะไรนักหนาก็ไม่รู้ แหล่งรวมประชากรคุณภาพต่ำจริงๆ,1,อธิบายเรื่อง ที่ ไอ้ป้อม จะ แทรกแซงต รึ งค่าเงินบา ทว่า ถ้า มัน ทำ จริง เศรษฐกิจประเทศ จะ ชิบหาย   จะ กลับ ไป คล้าย ๆ กับ วิกฤตต้มยำกุ้ง   พอ ได้ อ่านคอมเม้น ของ ชาว   tt   แล้ว กู อยาก ให้ ประเทศจมน้ำ ไป เลย   เม้นเล่น กัน รอบ นี้ อาจจะ ต้มเล้ง   ต้มแซ่บ   อะไร นัก หนา ก็ ไม่ รู้   แหล่ง รวม ประชากร คุณ ภาพต่ำ จริงๆ
ตีไอ้ป้อมออ ฝากตีแรงๆ,1,ตีไอ้ป้อมออ   ฝากตีแรง ๆ
ไอ้ป้อมทำเป็นสั่งตรึงเงินบาทแบบนั้น ไม่สั่งเงินบาทวิดพื้นท่าเตรียมด้วยเลยหล่ะ,1,ไอ้ป้อมทำ เป็น สั่งต รึ งเงินบาท แบบ นั้น   ไม่ สั่งเงินบาทวิดพื้นท่าเตรียม ด้วย เลย หล่ะ
สิ่งที่พลาดหนักคือ ไอ้ป้อมไม่มีสิทธิรักษาการนายกแต่แรก พวกมันเออ ออกันเอง ทำไมสภายังทำตามพวกมันอันนี้ งง คนรักษาการต้องมีในรายชื่อ  จัดการฟ้องร้องใอ้ป้อม  ที่เซ็นต์อนุมัติในฐานะอะไร,1,สิ่ง ที่ พลาดห นัก คือ   ไอ้ป้อม ไม่ มี สิทธิรักษา การ นาย ก แต่ แรก   พวกมัน เออ   ออ กันเอง   ทำไม สภา ยัง ทำ ตาม พวกมัน อัน นี้   งง   คนรักษา การ ต้อง มี ใน ราย ชื่อ    จัดการ ฟ้องร้องใอ้ป้อม    ที่ เซ็นต์อนุมัติ ใน ฐา นะ อะไร
ม่ใช้ตังพวกมึงเองล่ะไอ้ป้อมแต่เสือกมาใช้ภาษีพวกกู เมื่อไรนรกจะเอาตัวฝูงมึงไปสักทีวะสัส,1,ม่ ใช้ ตัง พวกมึง เอง ล่ะไอ้ป้อม แต่ เสือก มา ใช้ ภาษี พวกกู   เมื่อไร นรก จะ เอา ตัวฝูง มึง ไป สัก ที วะสัส
ประชากรทั้งหมด ตรวจหรือคิดเอาเอง จะสนับสนุนเรื่องที่ประกาศเป็นโรคเฝ้าระวังจะให้ไอ้ป้อมยกเลิก พรก ฉุกเฉินอ่ะดิ ไอ้ป้อมคนรักมากเลยไอ้ป้อมโดนวางยาแล้วมึง,1,ประชากร ทั้งหมด   ตรวจ หรือ คิด เอา เอง   จะ ส นับ สนุนเรื่อง ที่ ประกาศ เป็น โรคเฝ้าระวัง จะ ให้ ไอ้ป้อมยกเลิก   พรก   ฉุกเฉินอ่ะดิ   ไอ้ป้อมคนรัก มาก เลย ไอ้ป้อมโดนวางยา แล้ว มึง
สลิ่มชอบแบบประยุทธ์ชอบถูกชี้นิ้วสั่ง ชอบถูกตวาดแบบไอ้ป้อมทํา แล้วก็ชอบเข่าทรุด5555 รสนิยมสลิ่มนี่แม่งน่าสงสาร  ดีนะที่พวกมึงแก่ๆใกล้ตายกันแล้ว  เอาเวลาไปคิดว่าก่อนติดเตียงตายจะมีลูกหลานมาดูแลป่าว ไม่ต้องเสือกเรื่องคนรุ่นใหม่หรอกนะไอ้สลิ่มแก่ติดเตียง,1,สลิ่มชอบ แบบ ประยุทธ์ชอบ ถูก ชี้นิ้วสั่ง   ชอบ ถูก ตวาด แบบ ไอ้ป้อม ทํา   แล้ว ก็ ชอบเข่าทรุด 5555   รสนิยมสลิ่ม นี่ แม่ง น่า สงสาร    ดี นะ ที่ พวกมึง แก่ ๆ ใกล้ ตาย กัน แล้ว    เอา เวลา ไป คิดว่า ก่อน ติดเตียงตาย จะ มี ลูกหลาน มา ดูแลป่าว   ไม่ ต้อง เสือกเรื่องคนรุ่น ใหม่ หรอก นะ ไอ้สลิ่ม แก่ ติดเตียง
สมองแดกหญ้า รอบหน้าเขาเอาแลนสไล เชิญทึงฝันหวานกับไอ้ป้อมไปเหอะ,1,ส มอง แดกหญ้า   รอบหน้า เขา เอา แลนสไล   เชิญทึงฝันหวาน กับ ไอ้ป้อม ไป เหอะ
ไอ้ป้อมเบิกเงินไปหลายหมื่นล้านเพื่อจัดการผักตบพวกนี้ ฝากไอ้ศรีไปตบไอ้ป้อมที ไอ้สันขวาน,1,ไอ้ป้อมเบิกเงิน ไป หลาย หมื่นล้าน เพื่อ จัดการ ผักตบ พวกนี้   ฝากไอ้ศรี ไป ตบไอ้ป้อม ที   ไอ้สันขวาน
อย่างไอ้ป้อมใช่มั้ยคะ เหี้ยมากเลยนะคะรายนั้น หน้าด้านมานั่งแทนนายกอีก ขนาดตู่มันไปแล้ว หนีเอดส์มาเจอมะเร็งแท้ๆคนไทย สู้ๆค่ะ เศรษฐกิจก็แย่ทั้งประเทศแหละค่ะ เพราะคนโง่ไม่กี่คน,1,อย่าง ไอ้ป้อม ใช่ มั้ย คะ   เหี้ย มาก เลย นะ คะ ราย นั้น   หน้า ด้าน มา นั่งแทน นาย ก อีก   ขนาดตู่ มัน ไป แล้ว   หนีเอดส์ มา เจอมะเร็ง แท้ ๆ คนไทย   สู้ ๆ ค่ะ   เศรษฐกิจ ก็ แย่ ทั้ง ประเทศ แหละ ค่ะ   เพราะ คนโง่ ไม่ กี่คน
มันไม่มีหู แถมสมองไม่สั่งงานไปอีก หาแสงก่อนคนจะลืม เพราะไอ้ป้อมทำงานดีกว่า,1,มัน ไม่ มี หู   แถมส มอง ไม่ สั่งงาน ไป อีก   หาแสง ก่อน คน จะ ลืม   เพราะ ไอ้ป้อมทำงานดี กว่า
กลัวไอ้ป้อมได้ซีนเกินหน้าเกินตา โถๆๆๆๆๆ,1,กลัวไอ้ป้อม ได้ ซีน เกิน หน้า เกิน ตา   โถ ๆ ๆ ๆ ๆ ๆ
นั้นไอ้ป้อมคลองหลอด,1,นั้น ไอ้ป้อมคลองหลอด
ละเมอแล้ว เขาจะให้ติดคุกคืนเดียวและนิรโทษก็งอแง พันตำรวจห่าไร ป๊อดชิบหาย กลับมาจูบปากไอ้ป้อมก็ได้เชิญ,1,ละ เมอ แล้ว   เขา จะ ให้ ติดคุกคืน เดียว และ นิรโทษ ก็ งอแง   พันตำรวจห่า ไร   ป๊อดชิบหาย   กลับ มา จูบปากไอ้ป้อม ก็ได้ เชิญ
เยอะครับไอ้เหี้ยนี้​ ไอ้ป้อมน้อยกว่าเยอะ​ ไอ้นี้โง่เสือกชอบสอนทำตัวเหมือนฉลาด,1,เยอะ ครับ ไอ้เหี้ย นี้ ​   ไอ้ป้อม น้อยกว่า เยอะ ​   ไอ้ นี้ โง่เสือกชอบสอนทำตัวเหมือนฉลาด
ไร้ค่าชิบหายคนอย่างไอ้ป้อม,1,ไร้ค่าชิบหายคน อย่าง ไอ้ป้อม
กูเกลียดไอ้ป้อม,1,กู เกลียดไอ้ป้อม
กว่าจะไปไล่ไอ้ตู่กับไอ้ป้อมโน่น มาไล่ชัชชาติทำไม ไม่แหกตาดูรึไงว่าเขาทำงานทุกวันรึไง ไม่ได้นั่งแดกภาษี งานการไม่รู้จักทำ เศรษฐกิจไม่ดีให้สวดมนต์ พวกบ้าปัญญาอ่อน,1,กว่า จะ ไป ไล่ไอ้ตู่ กับ ไอ้ป้อมโน่น   มา ไล่ชัชชาติ ทำไม   ไม่ แหกตาดู รึ ไง ว่า เขา ทำงาน ทุกวัน รึ ไง   ไม่ ได้ นั่งแดกภาษี   งาน การ ไม่ รู้จักทำ   เศรษฐกิจ ไม่ ดี ให้ สวดมนต์   พวก บ้าปัญญาอ่อน
กว่าจะตัดสิน พวกนี้คงหนีตายไปแล้วก่อนแล้ว รู้อยู่การเมืองไทย  ถ้าไอ้ป้อมไม่ใหญ่จริง มันคงอยู่ไม่ถึงขนาดนี้หรอก พวกที่ตัดสินก็ใต้ตีนไอ้ป้อมทั้งนั้น,1,กว่า จะ ตัดสิน   พวกนี้ คง หนีตาย ไป แล้ว ก่อน แล้ว   รู้ อยู่ การ เมืองไทย    ถ้า ไอ้ป้อม ไม่ ใหญ่ จริง   มัน คงอยู่ ไม่ ถึง ขนาด นี้ หรอก   พวกที่ ตัดสิน ก็ ใต้ ตีนไอ้ป้อม ทั้งนั้น
สลิ่มจวกชัชชาติน้ำท่วมกรุงเทพ แต่จังหวัดอื่นท่วมถึงหลังคาสลิ่มตาบอด สมองดับ ลืมว่าไอ้ป้อมคือประธานยุทธศาสตร์การบริหารจัดการน้ำของประเทศ,1,สลิ่มจวกชัชชาติน้ำท่วมกรุงเทพ   แต่ จัง หวัด อื่น ท่วม ถึง หลัง คาสลิ่มตาบอด   ส มอง ดับ   ลืม ว่า ไอ้ป้อม คือ ประธานยุทธศาสตร์ การ บริหาร จัดการ น้ำ ของ ประเทศ
ไอ้ป้อม สมองหมาปัญญาควาย,1,ไอ้ป้อม   ส มอง ห มา ปัญญาควาย
เอาจริงๆไอ้ป้อมนี่มันดูฉลาดกว่าไอ้ตู่อยู่นะ,1,เอา จริงๆ ไอ้ป้อม นี่ มัน ดูฉลาด กว่า ไอ้ตู่ อยู่ นะ
ทำไมรู้สึกว่า กีบไม่ค่อยกล้าเล่นลุงป้อมเท่าตอนเล่นลุงตู่นะ,1,ทำไม รู้สึ กว่า   กีบ ไม่ค่อย กล้าเล่นลุงป้อม เท่า ตอนเล่นลุงตู่ นะ
ควย กูกลับบ้านเข้ากรุงเทพมาเจอม๊อบเชียร์อิป้อม ละแม่งมีไวนิลเขียนว่า ขอกอดลุงป้อมหน่อย นายกของปชช กุอยากลูกตาไปล้างไฮเตอร์อีดอก,1,ควย   กู กลับ บ้าน เข้า กรุงเทพ มา เจอม๊อบเชียร์อิป้อม   ละ แม่ง มี ไวนิล เขียน ว่า   ขอ กอดลุงป้อม หน่อย   นาย ก ของ ปชช   กุ อยาก ลูกตา ไป ล้างไฮเตอร์ อีดอก
เหมือนเลิฟซิกไง โซตัส คั่นกู ไวรอลมั้ยล่ะ แล้วปีนี้มันคือคพ ไงมึง,1,เหมือนเลิฟซิก ไง   โซตัส   คั่น กู   ไวรอล มั้ยล่ะ   แล้ว ปี นี้ มัน คือ คพ   ไง มึง
ม๊อบกอดลุงป้อมตรงสะพานชมัยมรุเชฐคือเหี้ยอัลไลครับพรี่ๆ,1,ม๊อบกอดลุงป้อม ตรง สะ พา นชมัยมรุเชฐ คือ เหี้ยอัลไล ครับ พรี่ ๆ
เกลียดรัฐบาลแต่เอาโซตัส ไปอยู่กับพ่อมึงเลยนะ,1,เกลียดรัฐบาล แต่ เอา โซตัส   ไป อยู่ กับ พ่อ มึง เลย นะ
พวกมึงขู่ตะคอก ข่ม โซตัส ห้องเชียร์ ลากคนเข้าลัทธิ ดินไถล  โดยคิดว่าไม่มีใครมีหลักฐาน,1,พวกมึง ขู่ตะคอก   ข่ม   โซตัส   ห้องเชียร์   ลากคน เข้า ลัทธิ   ดินไถล    โดย คิดว่า ไม่ มี ใคร มี หลักฐาน
ผมเป็นพยานความเหี้ยแล้วเอามาให้พับลิคดู มันเข้าข่ายคุกคามยังไงครับ,1,ผม เป็น พยาน ความ เหี้ย แล้ว เอา มา ให้ พับลิคดู   มัน เข้า ข่ายคุกคาม ยังไง ครับ
กุขึ้นแต่นกแอร์,1,กุ ขึ้น แต่ นกแอร์
กว่าจะจองตั๋วของนกแอร์ อิไทไลอ้อนแม่งเลื่อนไฟท์ขากลับกูไปสี่โมงครึ่ง อิห่า กูจะกลับมาเรียนทันไหมอิดอก ไม่ทัน คาบนั้นยิ่งชอบให้ส่งงานให้คาบอีก เวรจริงๆ กูจะทำไงได้,1,กว่า จะ จองตั๋ว ของ นกแอร์   อิไทไลอ้อนแม่งเลื่อนไฟท์ขา กลับ กู ไป สี่โมงครึ่ง   อิห่า   กู จะ กลับ มา เรียน ทัน ไหมอิดอก   ไม่ ทัน   คาบ นั้น ยิ่ง ชอบ ให้ ส่ง งาน ให้ คาบ อีก   เวร จริงๆ   กู จะ ทำ ไง ได้
อีสัส กูชอบอ่านคอมเม้นในต่อกมากนะแม่งอย่างปั่น ล่าสุดมีญ่าลงคลิปที่ถ่ายกับพีททองเจือ มีคนคอมเม้นว่า พี่บอลเชิญยิ้มหล่อมากครับ อีสัสส55555555555555555555555 กุขำไหล่สั่,1,อี สัส   กู ชอบอ่านคอมเม้น ใน ต่อ ก มาก นะ แม่ง อย่าง ปั่น   ล่าสุด มี ญ่าลงคลิป ที่ ถ่าย กับ พีททองเจือ   มี คนคอมเม้น ว่า   พี่บอลเชิญยิ้มหล่อ มาก ครับ   อี สัสส 55555555555555555555555   กุขำไหล่สั่
ของพวกไหนครับ ใช่ของ ไอ้บอลเชิญยิ้มไหม,1,ของ พวก ไหน ครับ   ใช่ ของ   ไอ้บอลเชิญยิ้มไหม
นัส  เมียโชครถแห่ ถูกแซะเอาเงินผัว หาเองทั้งชีวิตไม่ได้นอนกระดิกตีนอยู่บ้าน,1,นัส    เมียโชครถแห่   ถูก แซะ เอา เงินผัว   หา เอง ทั้ง ชีวิต ไม่ ได้ นอนกระดิกตีน อยู่ บ้าน
ไอ้เหี้ยตู่ไปแล้วมึงยังจะเอาไอ้เหี้ยป้อมมาอีกหรออีควายไม่รู้ๆๆๆๆทั้งวันเย้ดแม่ชาตินี้ไทยแลนด์ดินแดนกะลาก็ไม่เจริญซักทีอีสัส,1,ไอ้เหี้ยตู่ ไป แล้ว มึง ยังจะ เอา ไอ้เหี้ยป้อม มา อีก หรอ อี ควาย ไม่ รู้ ๆ ๆ ๆ ๆ ทั้ง วัน เย้ดแม่ชาติ นี้ ไทยแลนด์ดินแดนกะลา ก็ ไม่ เจริญซัก ที อี สัส
เหมือนจะดีแต่ก็ไม่ได้ดีขึ้นเลย หาคนใหม่เถอะไอ้เหี้ย อีป้อมจะตายแหล่ไม่ตายแหล่อยุ่ละ,1,เหมือน จะ ดี แต่ก็ ไม่ ได้ ดี ขึ้น เลย   หาคน ใหม่ เถอะ ไอ้เหี้ย   อี ป้อม จะ ตายแหล่ ไม่ ตายแหล่อยุ่ ละ
เหี้ยป้อมขึ้นแทน ไอ้ชิบหาย ควย,1,เหี้ยป้อม ขึ้น แทน   ไอ้ชิบหาย   ควย
พ่อมึง อิประวิตรขึ้นรักษาการเหรอ เดินยังไม่รอด มึงจะเอาแรงที่ไหนมาดูแลประเทศ ไอ้เหี้ยป้อม,1,พ่อ มึง   อิประวิตร ขึ้น รักษา การ เหรอ   เดิน ยัง ไม่ รอด   มึง จะ เอา แรง ที่ไหน มา ดูแลประเทศ   ไอ้เหี้ยป้อม
ก็คือยังไง ไอ้เหี้ยป้อมขึ้นต่อใน ตน รักษาการเหรอ,1,ก็คือ ยังไง   ไอ้เหี้ยป้อม ขึ้น ต่อ ใน   ตน   รักษา การ เหรอ
ไอ้เหี้ยป้อมขึ้นรักษาการแทนโอ้ยยยยยย,1,ไอ้เหี้ยป้อม ขึ้น รักษา การ แทนโอ้ยยยยยย
ขอให้มึงตายทั้งครอบครัวไอ้เหี้ยตู่ ไอ้เหี้ยป้อมก็ขอให้หกล้มตาย ไอ้สัด,1,ขอ ให้ มึง ตาย ทั้ง ครอบครัวไอ้เหี้ยตู่   ไอ้เหี้ยป้อม ก็ ขอ ให้ หกล้มตาย   ไอ้สัด
กูขอเถอะ ผู้ประกาศข่าวอะ เวลารายงานข่าวคำสัมภาษณ์พวกเผด็จการ มึงอ่านคำพูดมันเลยได้มะ ไม่ต้องเอาเสียงมันมาออก รำคาญหูชิบหาย ฟังทีไรก็หงุดหงิด ทั้งไอ้เหี้ยตู่ไอ้เหี้ยป้อมเลย ไอ้เหี้ยหนูอีกตัวนึง,1,กู ขอ เถอะ   ผู้ ประกาศข่าวอะ   เวลา ราย งานข่าว คำ สัมภาษณ์ พวก เผด็จ การ   มึง อ่าน คำ พูด มัน เลย ได้ มะ   ไม่ ต้อง เอา เสีย ง มัน มา ออก   รำคาญหูชิบหาย   ฟัง ทีไร ก็ หงุดหงิด   ทั้ง ไอ้เหี้ยตู่ไอ้เหี้ยป้อม เลย   ไอ้เหี้ยหนู อีก ตัวนึง
กูด่าไอ้ป้อมมากไปปะ อาจารย์ถามเหี้ยไรกูก็ไม่รู้,1,กู ด่าไอ้ป้อม มาก ไป ปะ   อาจารย์ถามเหี้ย ไร กู ก็ ไม่ รู้
ไอ้เหี้ยป้อมนี่ให้มันเดินแบบไม่ต้องมีคนพยุงก่อนเถอะ,1,ไอ้เหี้ยป้อม นี่ ให้ มัน เดิน แบบ ไม่ ต้อง มี คนพยุง ก่อน เถอะ
กูอยากจะจิกหนังหัวป่ามาเขย่าๆแล้วถามว่ามึงจะเดินไปเหี้ยไหนนัก จะฟาร์มยันป้อมมึงแตกเลยไหมไอ้ควายยย,1,กู อยาก จะ จิกหนังหัวป่า มา เขย่า ๆ แล้ว ถาม ว่า มึง จะ เดิน ไป เหี้ย ไหน นัก   จะ ฟาร์มยันป้อม มึง แตก เลย ไหมไอ้ควายยย
ส่วนมึงก็ใกล้จะตายห่าอยู่ละ เก้าอี้ต่อไปที่มึงจะนั่งคือวิลแชร์โว้ยไอ้เหี้ยป้อม,1,ส่วน มึง ก็ ใกล้ จะ ตายห่า อยู่ ละ   เก้าอี้ ต่อ ไป ที่ มึง จะ นั่ง คือ วิลแชร์โว้ยไอ้เหี้ยป้อม
"โครต​เหี้ย​โคตร​สัส​พรรค​พลัง​ประชา​โจร​ ทำเค้ก​อวยพร​วันเกิด​""""ไอ้​ง่อย​ป้อม​ เผด็จการ​อัปรีย์​จัญไร"""" แบบผิดกฎหมา​_ไทย   ฆ​วย",1,"โครต​เหี้ย​โคตร​สัส​พรรค​พลัง​ประชา​โจร​   ทำเค้ก​อวยพร​ วัน เกิด ​""""ไอ้​ง่อย​ป้อม​   เผด็จ การ ​อัปรีย์​จัญ ไร """"   แบบ ผิด กฎห มา ​_ไทย     ฆ​วย"
